OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
20260312-1,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Shopify,Shopify,,,USD,89.94,,101.58,,,0,0.00,0,0.00,11.64,,,,,,0,,101.58,,Eli Grant,Dana Ross,,,,,,,,,,,, , ,,,,,,,20001,10580,20001-260312-000001,,,,,,,,,Shopify,Alex,Reed,Shopify,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92609,Orange,USA,shopify@customers.example.com,(949) 555-2601,Shopify,Shopify,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92608,Orange,USA,shopify@customers.example.com,(949) 555-2601,,,,,,,1,2026-03-12,ADELINE-03-GOLD-6.5,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,3,0,0,3,,29.98,,89.94,89.94,0.00,0.00,89.94,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-2,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Walmart-eComm,Walmart eComm,,,USD,106.58,,119.57,,,0,0.00,0,0.00,12.99,,,,,,0,,119.57,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260312-000002,,,,,,,,,Walmart eComm,Morgan,Lee,Walmart eComm,San Francisco Warehouse,Dock 1,Primary Ship Address,San Francisco,CA,94109,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,Walmart eComm,Walmart eComm,San Francisco Billing Office,Suite 100,Primary Bill Address,San Francisco,CA,94108,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,,,,,,,1,2026-03-12,ADELINE-03-BLUE-6,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,2,0,0,2,,53.29,,106.58,106.58,0.00,0.00,106.58,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-3,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Shopify,Shopify,,,USD,76.25,,91.54,,,0,0.00,0,0.00,15.29,,,,,,0,,91.54,,Eli Grant,Dana Ross,,,,,,,,,,,, , ,,,,,,,20001,10580,20001-260312-000003,,,,,,,,,Shopify,Alex,Reed,Shopify,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92609,Orange,USA,shopify@customers.example.com,(949) 555-2601,Shopify,Shopify,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92608,Orange,USA,shopify@customers.example.com,(949) 555-2601,,,,,,,1,2026-03-12,CORA-01-TAUP-7.5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,1,0,0,1,,35.15,,35.15,35.15,0.00,0.00,35.15,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-3,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Shopify,Shopify,,,USD,76.25,,91.54,,,0,0.00,0,0.00,15.29,,,,,,0,,91.54,,Eli Grant,Dana Ross,,,,,,,,,,,, , ,,,,,,,20001,10580,20001-260312-000003,,,,,,,,,Shopify,Alex,Reed,Shopify,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92609,Orange,USA,shopify@customers.example.com,(949) 555-2601,Shopify,Shopify,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92608,Orange,USA,shopify@customers.example.com,(949) 555-2601,,,,,,,2,2026-03-12,FA13501DM-1608BLAU2-28-32,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,,EA,,,,,,,,3,0,0,3,,13.70,,41.10,41.10,0.00,0.00,41.10,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-4,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,94.41,,94.41,,,0,0.00,0,0.00,0.00,,,,,,0,,94.41,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000004,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,1,2026-03-12,CAMILA-06-TAUPE-5,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,3,0,0,3,,31.47,,94.41,94.41,0.00,0.00,94.41,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-5,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,125.63,,136.86,,,0,0.00,0,0.00,11.23,,,,,,0,,136.86,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000005,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,1,2026-03-12,CORA-01-FUCH-7.5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,1,0,0,1,,32.33,,32.33,32.33,0.00,0.00,32.33,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-5,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,125.63,,136.86,,,0,0.00,0,0.00,11.23,,,,,,0,,136.86,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000005,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,2,2026-03-12,AUSTIN-06-WHITE-12,,,SNEAKER,,,EA,,,,,,,,2,0,0,2,,39.38,,78.76,78.76,0.00,0.00,78.76,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-5,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,125.63,,136.86,,,0,0.00,0,0.00,11.23,,,,,,0,,136.86,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000005,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,3,2026-03-12,FD9801506P-BLACKBROWN-3X-STD,,,Natalia Leopard Print Button-up Wrap Dress,,,EA,,,,,,,,1,0,0,1,,14.54,,14.54,14.54,0.00,0.00,14.54,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-6,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Squarespace,Squarespace,,,USD,123.03,,137.13,,,0,0.00,0,0.00,14.10,,,,,,0,,137.13,,Rina Patel,Sam Lee,,,,,,,,,,,, , ,,,,,,,20006,10582,20006-260312-000006,,,,,,,,,Squarespace,Jamie,Clark,Squarespace,San Diego Warehouse,Dock 1,Primary Ship Address,San Diego,CA,92108,San Diego,USA,squarespace@customers.example.com,(619) 555-2701,Squarespace,Squarespace,San Diego Billing Office,Suite 100,Primary Bill Address,San Diego,CA,92107,San Diego,USA,squarespace@customers.example.com,(619) 555-2701,,,,,,,1,2026-03-12,ADELINE-02-CAMEL-5.5,,,WOVEN SLIDE SANDAL,,,EA,,,,,,,,3,0,0,3,,41.01,,123.03,123.03,0.00,0.00,123.03,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-7,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,JCPenney,JCPenney,,,USD,63.91,,64.15,,,0,0.00,0,0.00,0.24,,,,,,0,,64.15,,Rina Patel,Dana Ross,,,,,,,,,,,, , ,,,,,,,30007,10575,30007-260312-000007,,,,,,,,,JCPenney,Alex,Reed,JCPenney,San Diego Warehouse,Dock 1,Primary Ship Address,San Diego,CA,92106,San Diego,USA,jcpenney@customers.example.com,(619) 555-2201,JCPenney,JCPenney,San Diego Billing Office,Suite 100,Primary Bill Address,San Diego,CA,92105,San Diego,USA,jcpenney@customers.example.com,(619) 555-2201,,,,,,,1,2026-03-12,CORA-01-CAME-10,,,CROSS FRONT SANDAL,,,EA,,,,,,,,2,0,0,2,,16.74,,33.48,33.48,0.00,0.00,33.48,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
