OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
20260311-1,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,Macys,Macys,,,USD,89.94,,89.94,,,0,0.00,0,0.00,0.00,,,,,,0,,89.94,,Dana Ross,Eli Grant,,,,,,,,,,,, , ,,,,,,,30005,10574,30005-260311-000001,,,,,,,,,Macys,Taylor,Kim,Macys,San Francisco Warehouse,Dock 1,Primary Ship Address,San Francisco,CA,94107,San Francisco,USA,macys@customers.example.com,(415) 555-2401,Macys,Macys,San Francisco Billing Office,Suite 100,Primary Bill Address,San Francisco,CA,94106,San Francisco,USA,macys@customers.example.com,(415) 555-2401,,,,,,,1,2026-03-11,ADELINE-03-GOLD-6.5,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,3,0,0,3,,29.98,,89.94,89.94,0.00,0.00,89.94,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-2,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,Macys,Macys,,,USD,76.25,,83.57,,,0,0.00,0,0.00,7.32,,,,,,0,,83.57,,Dana Ross,Eli Grant,,,,,,,,,,,, , ,,,,,,,30005,10574,30005-260311-000002,,,,,,,,,Macys,Taylor,Kim,Macys,San Francisco Warehouse,Dock 1,Primary Ship Address,San Francisco,CA,94107,San Francisco,USA,macys@customers.example.com,(415) 555-2401,Macys,Macys,San Francisco Billing Office,Suite 100,Primary Bill Address,San Francisco,CA,94106,San Francisco,USA,macys@customers.example.com,(415) 555-2401,,,,,,,1,2026-03-11,FA13512DM-1847DPOCN-28-32,,,Angie Stud Bling Pocket Low Rise Skinny Jeans,,,EA,,,,,,,,1,0,0,1,,35.15,,35.15,35.15,0.00,0.00,35.15,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-2,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,Macys,Macys,,,USD,76.25,,83.57,,,0,0.00,0,0.00,7.32,,,,,,0,,83.57,,Dana Ross,Eli Grant,,,,,,,,,,,, , ,,,,,,,30005,10574,30005-260311-000002,,,,,,,,,Macys,Taylor,Kim,Macys,San Francisco Warehouse,Dock 1,Primary Ship Address,San Francisco,CA,94107,San Francisco,USA,macys@customers.example.com,(415) 555-2401,Macys,Macys,San Francisco Billing Office,Suite 100,Primary Bill Address,San Francisco,CA,94106,San Francisco,USA,macys@customers.example.com,(415) 555-2401,,,,,,,2,2026-03-11,AVIANA-06-WHITE-12,,,FUR SLIPPER,,,EA,,,,,,,,3,0,0,3,,13.70,,41.10,41.10,0.00,0.00,41.10,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-3,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,Mirakl-Kohls,Mirakl Kohls,,,USD,52.80,,62.30,,,0,0.00,0,0.00,9.50,,,,,,0,,62.30,,Eli Grant,Sam Lee,,,,,,,,,,,, , ,,,,,,,10013,10576,10013-260311-000003,,,,,,,,,Mirakl Kohls,Jamie,Clark,Mirakl Kohls,San Jose Warehouse,Dock 1,Primary Ship Address,San Jose,CA,95115,Santa Clara,USA,mirakl-kohls@customers.example.com,(408) 555-2301,Mirakl Kohls,Mirakl Kohls,San Jose Billing Office,Suite 100,Primary Bill Address,San Jose,CA,95114,Santa Clara,USA,mirakl-kohls@customers.example.com,(408) 555-2301,,,,,,,1,2026-03-11,FA13501DM-1608BLAU2-30-32,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,,EA,,,,,,,,4,0,0,4,,13.20,,52.80,52.80,0.00,0.00,52.80,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-4,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,wh-Harbor-WC,Harbor West Collective,,,USD,296.00,,296.00,,,0,0.00,0,0.00,0.00,,,,,,0,,296.00,,Jordan Kim,Sam Lee,,,,,,,,,,,, , ,,,,,,,90016,19016,90016-260311-000004,,,,,,,,,Harbor West Collective,Uri,Thomas,Harbor West Collective,Los Angeles Warehouse,Dock 1,Primary Ship Address,Los Angeles,CA,90216,Los Angeles,USA,wh-harbor-wc@customers.example.com,(213) 310-1090,Harbor West Collective,Harbor West Collective,Los Angeles Billing Office,Suite 100,Primary Bill Address,Los Angeles,CA,90016,Los Angeles,USA,wh-harbor-wc@customers.example.com,(213) 310-1090,,,,,,,1,2026-03-11,ADELINE-03-BLACK-11,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,16,0,0,16,,18.50,,296.00,296.00,0.00,0.00,296.00,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-5,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,eBay,eBay,,,USD,130.45,,139.16,,,0,0.00,0,0.00,8.71,,,,,,0,,139.16,,Dana Ross,Eli Grant,,,,,,,,,,,, , ,,,,,,,10004,10570,10004-260311-000005,,,,,,,,,eBay,Morgan,Lee,eBay,San Jose Warehouse,Dock 1,Primary Ship Address,San Jose,CA,95111,Santa Clara,USA,ebay@customers.example.com,(408) 555-1301,eBay,eBay,San Jose Billing Office,Suite 100,Primary Bill Address,San Jose,CA,95110,Santa Clara,USA,ebay@customers.example.com,(408) 555-1301,,,,,,,1,2026-03-11,ADELINE-02-CAMEL-9.5,,,WOVEN SLIDE SANDAL,,,EA,,,,,,,,1,0,0,1,,37.59,,37.59,37.59,0.00,0.00,37.59,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-5,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,eBay,eBay,,,USD,130.45,,139.16,,,0,0.00,0,0.00,8.71,,,,,,0,,139.16,,Dana Ross,Eli Grant,,,,,,,,,,,, , ,,,,,,,10004,10570,10004-260311-000005,,,,,,,,,eBay,Morgan,Lee,eBay,San Jose Warehouse,Dock 1,Primary Ship Address,San Jose,CA,95111,Santa Clara,USA,ebay@customers.example.com,(408) 555-1301,eBay,eBay,San Jose Billing Office,Suite 100,Primary Bill Address,San Jose,CA,95110,Santa Clara,USA,ebay@customers.example.com,(408) 555-1301,,,,,,,2,2026-03-11,FA13512DM-1847DPOCN-26-30,,,Angie Stud Bling Pocket Low Rise Skinny Jeans,,,EA,,,,,,,,2,0,0,2,,46.43,,92.86,92.86,0.00,0.00,92.86,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-6,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,123.03,,123.03,,,0,0.00,0,0.00,0.00,,,,,,0,,123.03,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260311-000006,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,1,2026-03-11,ADELINE-02-CAMEL-5.5,,,WOVEN SLIDE SANDAL,,,EA,,,,,,,,3,0,0,3,,41.01,,123.03,123.03,0.00,0.00,123.03,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-7,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,Shopify,Shopify,,,USD,63.91,,64.15,,,0,0.00,0,0.00,0.24,,,,,,0,,64.15,,Eli Grant,Dana Ross,,,,,,,,,,,, , ,,,,,,,20001,10580,20001-260311-000007,,,,,,,,,Shopify,Alex,Reed,Shopify,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92609,Orange,USA,shopify@customers.example.com,(949) 555-2601,Shopify,Shopify,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92608,Orange,USA,shopify@customers.example.com,(949) 555-2601,,,,,,,1,2026-03-11,CORA-01-CAME-10,,,CROSS FRONT SANDAL,,,EA,,,,,,,,2,0,0,2,,16.74,,33.48,33.48,0.00,0.00,33.48,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260311-7,1,0,2026-03-11,2026-03-13,2026-04-10,2026-03-11,,,,,Shopify,Shopify,,,USD,63.91,,64.15,,,0,0.00,0,0.00,0.24,,,,,,0,,64.15,,Eli Grant,Dana Ross,,,,,,,,,,,, , ,,,,,,,20001,10580,20001-260311-000007,,,,,,,,,Shopify,Alex,Reed,Shopify,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92609,Orange,USA,shopify@customers.example.com,(949) 555-2601,Shopify,Shopify,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92608,Orange,USA,shopify@customers.example.com,(949) 555-2601,,,,,,,2,2026-03-11,F13031C-1742VNTGDM-28-STD,,,Cayden Vintage Beujolias Corduroy Skinny Jeans,,,EA,,,,,,,,1,0,0,1,,30.43,,30.43,30.43,0.00,0.00,30.43,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
